Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.129-104.18.29.234-58592-443-17,192.168.1.129,58592,104.18.29.234,443,17,13/05/2026 06:12:24 pm,3729120,41,35,28513.0,12257.0,1250.0,45.0,695.439024390244,540.4477795671145,1250.0,24.0,350.2,457.04999082993874,10932.87424378942,20.380143304586603,49721.59999999999,259342.38603124322,2113709.0,0.0,3729029.0,93225.72499999999,353047.1975480948,2113709.0,37.0,3724758.0,109551.70588235294,387846.76353141025,2157377.0,0.0,0,0,0,0,328,280,10.994550993263827,9.385592311322778,24.0,1250.0,545.7142857142857,532.3583542062931,283405.41729323304,0,0,0,0,0,0,0,0,0.0,552.8947368421053,695.439024390244,350.2,0,0,0,0,0,0,41,28513,35,12257,-1,-1,41,0,0,0,0,0,0,0,0,0,No Label
142.250.186.234-192.168.1.129-443-57482-17,192.168.1.129,57482,142.250.186.234,443,17,13/05/2026 06:13:04 pm,393629,8,14,6481.0,12558.0,1250.0,31.0,810.125,608.3329533593073,1250.0,24.0,897.0,537.3344467762212,48367.87939912963,55.89019101743012,18744.238095238095,34344.48968452547,124645.0,0.0,365412.0,52201.71428571428,44222.28721551418,125639.0,120.0,393629.0,30279.153846153848,47286.79689907489,125846.0,0.0,0,0,0,0,64,112,20.323705824520044,35.56648519291007,24.0,1250.0,882.1304347826085,544.553720895112,296538.7549407115,0,0,0,0,0,0,0,0,1.0,922.2272727272727,810.125,897.0,0,0,0,0,0,0,8,6481,14,12558,-1,-1,8,0,0,0,0,0,0,0,0,0,No Label
192.168.1.129-192.178.54.74-54120-443-17,192.168.1.129,54120,192.178.54.74,443,17,13/05/2026 06:12:30 pm,45372051,9,13,528.0,776.0,272.0,29.0,58.666666666666664,80.04373804364712,244.0,25.0,59.69230769230769,65.85006278835858,28.740159883889756,0.48487999804108484,2160573.8571428573,5343285.311593105,1.495959E7,0.0,4.5291862E7,5661482.75,7714703.928015898,1.5004828E7,998.0,4.5372051E7,3781004.2499999995,6753159.5488943765,1.4993388E7,0.0,0,0,0,0,72,104,0.1983599991986256,0.2865199988424592,25.0,272.0,57.95652173913043,68.81231275979451,4735.134387351779,0,0,0,0,0,0,0,0,1.0,60.59090909090909,58.666666666666664,59.69230769230769,0,0,0,0,0,0,9,528,13,776,-1,-1,9,0,74276.0,29913.07762501211,102512.0,42929.0,1.4932865666666666E7,24467.251589284264,1.495959E7,1.4911566E7,No Label
192.168.1.129-104.18.43.162-57266-443-6,192.168.1.129,57266,104.18.43.162,443,6,13/05/2026 06:12:47 pm,31270418,94,134,4957.0,52320.0,456.0,0.0,52.734042553191486,78.47925217655758,1440.0,0.0,390.44776119402974,474.72128058795755,1831.667232590239,7.291236081334122,137755.14537444932,833547.8466751608,1.0713399E7,0.0,3.1208056E7,335570.494623656,1285227.842085137,1.0713399E7,14.0,3.1270372E7,235115.57894736846,1093092.9013187778,1.0788887E7,0.0,0,0,0,0,2096,2728,3.006035928269331,4.285200153064792,0.0,1440.0,250.11790393013092,402.3469078833669,161883.0342833065,0,1,0,0,0,0,0,0,1.0,251.21491228070175,52.734042553191486,390.44776119402985,0,0,0,0,0,0,94,4957,134,52320,-1,16,47,0,7126848.5,9663751.899725102,1.3960153E7,293544.0,8232379.5,3508691.425412115,1.0713399E7,5751360.0,No Label
142.251.216.22-192.168.1.129-443-51207-17,192.168.1.129,51207,142.251.216.22,443,17,13/05/2026 06:13:16 pm,5353806,14,21,5136.0,18839.0,1250.0,31.0,366.8571428571429,538.4373197065256,1250.0,24.0,897.0952380952381,531.980347828931,4478.122666379768,6.537405352379224,157464.88235294115,825339.4812475565,4824528.0,0.0,5329557.0,409965.92307692306,1327446.4460187247,4824528.0,100.0,5353806.0,267690.3,1086750.0526779788,4879272.0,0.0,0,0,0,0,112,168,2.6149621409516897,3.922443211427534,24.0,1250.0,700.6944444444445,587.9988250447175,345742.61825396825,0,0,0,0,0,0,0,0,1.0,720.7142857142857,366.85714285714283,897.0952380952381,0,0,0,0,0,0,14,5136,21,18839,-1,-1,14,0,0,0,0,0,0,0,0,0,No Label
192.168.1.129-192.168.1.1-53305-53-17,192.168.1.129,53305,192.168.1.1,53,17,13/05/2026 06:13:00 pm,315615,1,3,42.0,158.0,42.0,42.0,42.0,0.0,58.0,42.0,52.666666666666664,9.237604307034012,633.6834434358317,12.673668868716634,105205.0,56157.29563467244,148154.0,41657.0,0,0,0,0,0,315615.0,157807.5,45259.783743407344,189811.0,125804.0,0,0,0,0,8,24,3.1684172171791585,9.505251651537476,42.0,58.0,48.4,8.763560920082657,76.8,0,0,0,0,0,0,0,0,3.0,60.5,42.0,52.666666666666664,0,0,0,0,0,0,1,42,3,158,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
142.250.187.33-192.168.1.129-443-64880-6,192.168.1.129,64880,142.250.187.33,443,6,13/05/2026 06:13:21 pm,1273412,8,23,1138.0,16163.0,902.0,0.0,142.25,308.9487937229358,1412.0,0.0,702.7391304347826,672.4085755625954,13586.333409768402,24.344045760523695,42447.066666666666,97237.9703758927,291156.0,0.0,733645.0,104806.42857142857,171406.9068463084,409143.0,377.0,1273412.0,57882.36363636363,110464.5778676609,293441.0,0.0,0,0,0,0,160,484,6.282334389812567,18.06171137071113,0.0,1412.0,540.65625,642.1093570500981,412304.42641129036,0,1,0,0,0,0,0,0,2.0,558.0967741935484,142.25,702.7391304347826,0,0,0,0,0,0,8,1138,23,16163,-1,1042,5,0,0,0,0,0,0,0,0,0,No Label
192.168.1.129-192.168.1.1-62994-53-17,192.168.1.129,62994,192.168.1.1,53,17,13/05/2026 06:12:45 pm,197830,1,2,36.0,155.0,36.0,36.0,36.0,0.0,119.0,36.0,77.5,58.68986283848344,965.4754081787393,15.164535206995906,98915.0,82353.89837767245,157148.0,40682.0,0,0,0,0,0,197830.0,197830.0,0.0,197830.0,197830.0,0,0,0,0,8,16,5.054845068998635,10.10969013799727,36.0,119.0,56.75,41.5,1722.25,0,0,0,0,0,0,0,0,2.0,75.66666666666667,36.0,77.5,0,0,0,0,0,0,1,36,2,155,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.129-192.168.1.1-50160-53-17,192.168.1.129,50160,192.168.1.1,53,17,13/05/2026 06:13:18 pm,48515,1,3,52.0,273.0,52.0,52.0,52.0,0.0,153.0,52.0,91.0,54.286278192559855,6698.959084819127,82.44872719777388,16171.666666666668,16375.158391091469,32743.0,0.0,0,0,0,0,0,48515.0,24257.5,34305.285489265356,48515.0,0.0,0,0,0,0,8,24,20.61218179944347,61.83654539833041,52.0,153.0,75.4,43.92948895673611,1929.8,0,0,0,0,0,0,0,0,3.0,94.25,52.0,91.0,0,0,0,0,0,0,1,52,3,273,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.129-52.84.45.50-50424-443-6,192.168.1.129,50424,52.84.45.50,443,6,13/05/2026 06:13:00 pm,857256,7,13,649.0,6620.0,462.0,0.0,92.71428571428571,166.73003557219306,1440.0,0.0,509.23076923076917,656.6801801290785,8479.38072174473,23.330253739839673,45118.73684210525,88445.28169554709,244256.0,0.0,420127.0,70021.16666666667,109502.77228530183,243451.0,159.0,857256.0,71438.0,104461.34350083767,245634.0,0.0,0,0,0,0,140,284,8.165588808943886,15.164664930895787,0.0,1440.0,346.1428571428571,559.31684095102,312835.32857142866,0,1,0,0,0,0,0,0,1.0,363.45,92.71428571428571,509.2307692307692,0,0,0,0,0,0,7,649,13,6620,-1,141,4,0,0,0,0,0,0,0,0,0,No Label
